,city,city_seo_name,citypart,citypart_seo_name,country,country_id,country_seo_name,district,district_id,district_seo_name,entity_type,geohash,gps_lat,gps_lon,housenumber,inaccuracy_type,municipality,municipality_id,municipality_seo_name,quarter,quarter_id,quarter_seo_name,region,region_id,region_seo_name,street,street_id,street_seo_name,streetnumber,ward,ward_id,ward_seo_name
378,Praha,praha,Čimice,cimice,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,address,u2fm225ugm,50.1424468029961,14.4303383274082,,street,,3468,,Praha 8,115,praha-8,Hlavní město Praha,10,hlavni-mesto-praha,Žalovská,122917,zalovska,,,13705,
379,Praha,praha,Horní Počernice,horni-pocernice,Česká republika,112,ceska-republika,Praha 9,5009,praha-9,address,u2fmh66ztu,50.1113248366828,14.6048597658063,2207,address,,3468,,Praha 20,124,praha-20,Hlavní město Praha,10,hlavni-mesto-praha,Lhotská,124226,lhotska,25,,2946,
380,Praha,praha,Nové Město,nove-mesto,Česká republika,112,ceska-republika,Praha 1,5001,praha-1,address,u2fkbhrvuh,50.0780693535324,14.4248795179278,1742,address,,3468,,Praha 1,87,praha-1,Hlavní město Praha,10,hlavni-mesto-praha,Štěpánská,122060,stepanska,27,,14959,
381,Praha,praha,Suchdol,suchdol,Česká republika,112,ceska-republika,Praha 6,5006,praha-6,address,u2fjnyq61c,50.132339469,14.3677909183,1239,gps,,3468,,Praha-Suchdol,112,praha-suchdol,Hlavní město Praha,10,hlavni-mesto-praha,Holubí,148012,holubi,2,,13700,
382,Praha,praha,Stodůlky,stodulky,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhwrzysp,50.053492,14.347983,2290,gps,,3468,,Praha 13,98,praha-13,Hlavní město Praha,10,hlavni-mesto-praha,Nušlova,125219,nuslova,45,,14962,
383,Praha,praha,Bubeneč,bubenec,Česká republika,112,ceska-republika,Praha 7,5007,praha-7,address,u2fm00d3rw,50.100653,14.417478,939,gps,,3468,,Praha 7,113,praha-7,Hlavní město Praha,10,hlavni-mesto-praha,Jana Zajíce,120184,jana-zajice,8,,14947,
384,Praha,praha,Dolní Měcholupy,dolni-mecholupy,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkg4hygw,50.0658894444,14.5525744444,527,address,,3468,,Praha-Dolní Měcholupy,135,praha-dolni-mecholupy,Hlavní město Praha,10,hlavni-mesto-praha,Kryšpínova,5181229,kryspinova,6,,14949,
385,Praha,praha,Zličín,zlicin,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhubxhsz,50.0572689,14.2810614,479,gps,,3468,,Praha-Zličín,106,praha-zlicin,Hlavní město Praha,10,hlavni-mesto-praha,Prušánecká,153795,prusanecka,2,,13691,
386,Praha,praha,Košíře,kosire,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhz6bs9k,50.0696145,14.3818505,479,gps,,3468,,Praha 5,97,praha-5,Hlavní město Praha,10,hlavni-mesto-praha,Vrchlického,122747,vrchlickeho,51,,13688,
387,Praha,praha,Braník,branik,Česká republika,112,ceska-republika,Praha 4,5004,praha-4,address,u2fk8h9qwv,50.0356276,14.4160795,542,gps,,3468,,Praha 4,90,praha-4,Hlavní město Praha,10,hlavni-mesto-praha,Nad vinohradem,121086,nad-vinohradem,16,,13678,
388,Praha,praha,Nové Město,nove-mesto,Česká republika,112,ceska-republika,Praha 1,5001,praha-1,address,u2fkbqz209,50.0907954,14.4350361,,gps,,3468,,Praha 1,87,praha-1,Hlavní město Praha,10,hlavni-mesto-praha,Biskupský dvůr,119298,biskupsky-dvur,,,14959,
389,Praha,praha,Stodůlky,stodulky,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhy12e7h,50.06115829271965,14.326994863352537,,street,,3468,,Praha 13,98,praha-13,Hlavní město Praha,10,hlavni-mesto-praha,V borovičkách,124696,v-borovickach,,,14962,
390,Praha,praha,Břevnov,brevnov,Česká republika,112,ceska-republika,Praha 6,5006,praha-6,address,u2fhyvsnyv,50.0851100647,14.3649174472,2386,gps,,3468,,Praha 6,107,praha-6,Hlavní město Praha,10,hlavni-mesto-praha,Slavníkova,121840,slavnikova,11,,14948,
391,Praha,praha,Stodůlky,stodulky,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhwnpz0t,50.043956,14.336845,2722,gps,,3468,,Praha 13,98,praha-13,Hlavní město Praha,10,hlavni-mesto-praha,Jeremiášova,125370,jeremiasova,2b,,14962,
392,Praha,praha,Žižkov,zizkov,Česká republika,112,ceska-republika,Praha 3,5003,praha-3,address,u2fkbvb2rh,50.085363,14.447667,632,gps,,3468,,Praha 3,89,praha-3,Hlavní město Praha,10,hlavni-mesto-praha,Blahníkova,119300,blahnikova,9,,14971,
